filename	fraction_number
heuselm_J130729_001	1
heuselm_J130729_003	2
heuselm_J130729_005	3
heuselm_J130729_007	4
heuselm_J130729_009	5
heuselm_J130729_011	6
heuselm_J130729_013	7
heuselm_J130729_015	8
heuselm_J130729_017	9
heuselm_J130729_019	10
heuselm_J130729_021	11
heuselm_J130729_023	12
heuselm_J130730_001	13
heuselm_J130730_003	14
heuselm_J130730_005	15
heuselm_J130730_007	16
heuselm_J130730_009	17
heuselm_J130730_011	18
heuselm_J130730_013	19
heuselm_J130730_015	20
heuselm_J130730_017	21
heuselm_J130730_019	22
heuselm_J130730_021	23
heuselm_J130730_023	24
heuselm_J130802_001	25
heuselm_J130802_003	26
heuselm_J130802_005	27
heuselm_J130802_007	28
heuselm_J130802_009	29
heuselm_J130802_011	30
heuselm_J130802_013	31
heuselm_J130802_015	32
heuselm_J130802_017	33
heuselm_J130802_019	34
heuselm_J130802_021	35
heuselm_J130802_023	36
heuselm_J130805_001	37
heuselm_J130805_003	38
heuselm_J130805_005	39
heuselm_J130805_007	40
heuselm_J130805_009a	41
heuselm_J130805_011a	42
heuselm_J130805_013a	43
heuselm_J130805_015a	44
heuselm_J130805_017a	45
heuselm_J130805_019a	46
heuselm_J130805_021	47
heuselm_J130805_023	48
heuselm_J130809_001	49
heuselm_J130809_003	50
heuselm_J130809_005	51
heuselm_J130809_007	52
heuselm_J130809_009	53
heuselm_J130809_011	54
heuselm_J130809_013	55
heuselm_J130809_015	56
heuselm_J130809_017	57
heuselm_J130809_019a	58
heuselm_J130809_021a	59
heuselm_J130809_023a	60
heuselm_J130815_001a	61
heuselm_J130815_003	62
heuselm_J130815_005	63
heuselm_J130815_007	64
heuselm_J130815_009a	65
heuselm_J130815_011a	66
heuselm_J130815_013a	67
heuselm_J130815_015	68
heuselm_J130815_017	69
heuselm_J130815_019	70
heuselm_J130815_021	71
heuselm_J130815_023	72
heuselm_J130822_001	73
heuselm_J130822_003	74
heuselm_J130822_005	75
heuselm_J130822_007	76
heuselm_J130822_009	77
heuselm_J130822_011	78
heuselm_J130822_013	79
heuselm_J130822_015	80
heuselm_J130822_017	81
